census_id,sponsor,sponsor_species,sponsor_statute,tier,traveling,role,sponsor_home_county,sponsor_jurisdiction,property_city,property_county,status,affordable,sale_date,ground_lease_comment,sale_comment
TX-63-3735,Cameron County Housing Authority,HA,HA (Ch.392),3,yes,Additional owner,Cameron,Brownsville,Houston,Harris,Completed,All,,"The property is subject to an 85 year unsubordinated net ground lease held by Cameron County Housing Authority, which expires 04/01/2106.",
TX-63-403,Cameron County Housing Authority,HA,HA (Ch.392),3,yes,Additional owner,Cameron,Brownsville,Stafford,Harris,Completed,None,,,
TX-62-3053,Cameron County Housing Authority,HA,HA (Ch.392),3,yes,Additional owner,Cameron,Brownsville,League City,Galveston,Completed,All,,,
TX-62-4070,Cameron County Housing Authority,HA,HA (Ch.392),3,yes,Additional owner,Cameron,Brownsville,League City,Galveston,Completed,Partial,,,
TX-43-2577,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Lewisville,Denton,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 06/01/2124.",
TX-38-923,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Fort Worth,Tarrant,Completed,None,,,"In 01/25 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group.    The 03/22 sale price is unconfirmed, but believed to be reasonably representative of the transfer."
TX-43-1496,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Irving,Dallas,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 05/01/2122.",
TX-61-1707,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,San Antonio,Bexar,Completed,None,,,
TX-38-1510,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Fort Worth,Tarrant,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation , which expires 12/01/2121.",
TX-62-3044,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Lake Jackson,Brazoria,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 05/07/2124.",
TX-62-4386,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Baytown,Harris,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 06/01/2124.",
TX-38-2811,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Fort Worth,Tarrant,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 05/31/2124.",
TX-37-109,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Richardson,Collin,Completed,None,,,"In 04/25 the property was recapitalized with an undisclosed sale that kept Leste, but replaced GVA Real Estate Investments with The Cameron County Housing Finance Corporation.         The 02/22 sale was an undisclosed portfolio transaction incorporating the 562 unit Plantations at Haywood Apartments in Greenville, SC, 364 unit 1070 Main Apartments in Hendersonville, TN, 272 unit The Bluffs at Vista Ridge Apartments in Lewisville, TX, 264 unit Retreat at Stafford Apartments in Stafford, TX, and the 208 unit Spring Pointe Apartment Homes in Richardson, TX."
TX-43-2669,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Lewisville,Denton,Completed,None,,,"In 04/25 the property was recapitalized with an undisclosed sale that kept Leste, but replaced GVA Real Estate Investments with The Cameron County Housing Finance Corporation.    The 02/22 sale was an undisclosed portfolio transaction incorporating the 562 unit Plantations at Haywood Apartments in Greenville, SC, 364 unit 1070 Main Apartments in Hendersonville, TN, 272 unit The Bluffs at Vista Ridge Apartments in Lewisville, TX, 264 unit Retreat at Stafford Apartments in Stafford, TX, and the 208 unit Spring Pointe Apartment Homes in Richardson, TX."
TX-36-528,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,Austin,Travis,Completed,None,2024-12-26,,"In 12/24 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-36-1466,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,Austin,Travis,Completed,None,2024-12-26,,"In 12/24 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-61-614,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,San Antonio,Bexar,Completed,None,2024-12-24,,"In 12/24 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-37-8327,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,Dallas,Collin,Completed,None,2024-12-26,,"In 12/24 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-37-8328,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,Dallas,Collin,Completed,None,2024-12-26,,"In 12/24 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-43-1599,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Irving,Dallas,Completed,None,,,"The 06/12 sale price is unconfirmed, but believed to be reasonably representative of the transfer.    <span dir=""ltr"">In 12/22 the property was recapitalized with a undisclosed sale that added The Cameron County Housing Finance Corporation</span><span dir=""ltr""> the ownership group.</span>"
TX-43-1938,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Lewisville,Denton,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 03/20/2112.",
TX-113-145,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Corpus Christi,Nueces,Completed,None,,,
TX-113-122,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Corpus Christi,Nueces,Completed,None,,,
TX-113-1569,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Corpus Christi,Nueces,Completed,All,,,
TX-61-1675,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Primary Owner,Cameron,Harlingen,San Antonio,Bexar,Completed,All,2023-03-29,"The property is subject to a 75 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 03/01/2080.","In 03/23 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group, as the operating partner."
TX-36-370218,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Austin,Travis,Completed,All,,,
TX-37-772,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Additional owner,Cameron,Harlingen,Dallas,Dallas,Completed,None,,,In 04/25 the property was recapitalized with an undisclosed sale that added The Cameron County Housing Finance Corporation to the ownership group.
TX-37-7585,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Dallas,Dallas,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 03/01/2124.",
TX-37-8332,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,McKinney,Collin,Under Construction,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 07/31/2121.",
TX-38-2135,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Fort Worth,Tarrant,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 06/30/2121.",
TX-43-592,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Dallas,Dallas,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 12/01/2121.",
TX-62-878,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Hitchcock,Galveston,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 12/01/2121.",
TX-215-1546292,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Port Arthur,Jefferson,Completed,All,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 12/01/2121.",
TX-63-3909,"Cameron County Housing Finance Corporation, The",HFC,Ch.394,1,yes,Ground Leasor,Cameron,Harlingen,Houston,Harris,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by The Cameron County Housing Finance Corporation, which expires 05/31/2124.",
TX-63-2783,Edcouch Community Housing Finance Corporation,HFC,Ch.394,1,yes,Ground Leasor,Hidalgo,Edcouch,Houston,Harris,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by Edcouch Community Housing Finance Corporation, which expires 03/31/2124.",
TX-43-1510,Edcouch Community Housing Finance Corporation,HFC,Ch.394,1,yes,Additional owner,Hidalgo,Edcouch,Irving,Dallas,Completed,None,,,In 04/25 the property was recapitalized with an unrecorded sale that added Edcouch Community Housing Finance Corporation to the ownership group.    The 09/20 sale price is estimated from SEC or GSE documentation at time of loan.
TX-62-2746,Edcouch Community Housing Finance Corporation,HFC,Ch.394,1,yes,Ground Leasor,Hidalgo,Edcouch,Houston,Harris,Completed,None,,"The property is subject to a 99 year unsubordinated net ground lease held by Edcouch Community Housing Finance Corporation, which expires 05/31/2124.",
